muestra,condition
20220608_34_HDMSE_N_P1_R001,Normal
20220608_34_HDMSE_N_P1_R002,Normal
20220608_34_HDMSE_N_P1_R003,Normal
20220608_36_HDMSE_N_P3_R001,Normal
20220608_36_HDMSE_N_P3_R002,Normal
20220608_36_HDMSE_N_P3_R003,Normal
20220608_37_HDMSE_N_P4_R001,Normal
20220608_37_HDMSE_N_P4_R002,Normal
20220608_37_HDMSE_N_P4_R003,Normal
20220608_38_HDMSE_N_P5_R001,Normal
20220608_38_HDMSE_N_P5_R002,Normal
20220608_38_HDMSE_N_P5_R003,Normal
20220608_44_HDMSE_OP_PI_R001,OP
20220608_44_HDMSE_OP_PI_R002,OP
20220608_44_HDMSE_OP_PI_R003,OP
20220608_46_HDMSE_OP_P3_R001,OP
20220608_46_HDMSE_OP_P3_R002,OP
20220608_46_HDMSE_OP_P3_R003,OP
20220608_47_HDMSE_OP_P4_R001,OP
20220608_47_HDMSE_OP_P4_R002,OP
20220608_47_HDMSE_OP_P4_R003,OP
20220608_48_HDMSE_OP_P5_R001,OP
20220608_48_HDMSE_OP_P5_R002,OP
20220608_48_HDMSE_OP_P5_R003,OP
20220608_39_HDMSE_OS_P1_R001,OS
20220608_39_HDMSE_OS_P1_R002,OS
20220608_39_HDMSE_OS_P1_R003,OS
20220608_40_HDMSE_OS_P2_R001,OS
20220608_40_HDMSE_OS_P2_R002,OS
20220608_40_HDMSE_OS_P2_R003,OS
20220608_41_HDMSE_OS_P3_R001,OS
20220608_41_HDMSE_OS_P3_R002,OS
20220608_41_HDMSE_OS_P3_R003,OS
20220608_42_HDMSE_OS_P4_R001,OS
20220608_42_HDMSE_OS_P4_R002,OS
20220608_42_HDMSE_OS_P4_R003,OS
